date,author,title,tag1,tag2,tag3,tag4,tag5
20-Oct-21,Hashmap,"Lessons Learned in Building a Modern Data Stack with Erik Jones from Hyperscience
Hashmap on Tap Ep. 90'�",Cloud Computing,Analytics Engineering,Snowflake,Fivetran,Data
14-Sep-21,Hashmap,"The Power of Community and Analytics Engineering with Tristan Handy, Founder & CEO of dbt Labs",Data,Analytics,Data Engineering,Data Transformation,Analytics Engineering
18-Aug-21,Hashmap,"Digging Into DataOps and Its Benefits, Hashmap on Tap Podcast, Ep. 83",Dataops,Data,Data Analytics,Data Governance,DevOps
4-Aug-21,Mohini Kalamkar,Getting to Know Snowflake Snowsight Snowflake's Interactive SQL Editor,Snowflake,Snowsight,Sql,Sql Editor,Analytics
21-Jul-21,Venkat Sekar,Parsing Complex Excel Files Using Snowflake's New Java UDF Feature,Snowflake,Cloud Computing,Data,Snowflake Java Udf,Snowflake File Parsing
12-Jul-21,Jalindar Karande,Sending Email Notifications from Snowflake Using External Functions,Data Quality,Data,Snowflake,Data Management,Cloud Computing
7-Jul-21,Hashmap,Developing SQL-Based Streaming Data Apps with Arjun Narayan of Materialize,Data,Cloud Computing,Materialize,Sql,Streaming
23-Jun-21,Hashmap,Monte Carlo: Using Data Observability to Improve Data Reliability,Data Observability,Data Reliability,Data,Data Science,Data Analytics
17-Jun-21,Jalindar Karande,Handling Deadlocks in Snowflake,Snowflake,Cloud Computing,Data Warehouse,Data,Elt
15-Jun-21,Hashmap,Epiq Global: Simplifying eDiscovery with Snowflake,Snowflake,Data,Cloud Computing,Cloud,Ediscovery
26-May-21,Shubham Nikam and Laurent Weichberger,How to Perform a Cloudera CDH v6 Migration to CDP Public Cloud (AWS),Cloudera,Hadoop,AWS,Cloud Migration,Open Source
24-May-21,Shekhar Parnerkar,A Quick Start Guide to Using the Snowflake Connector for Kafka,Snowflake,Kafka,Open Source,Data,Cloud Computing
10-May-21,Chinmayee Lakkad,How We Use Hashmap Data Cataloger (hdc) in Cloud Data Migrations: Part 2,Cloud Computing,Data,Snowflake,Open Source,Migration
29-Mar-21,Archit Pandita,How to Build and Deploy Docker Images on GKE (Google Kubernetes Engine)' Part 2,Gcp,Kubernetes,Docker,DevOps,Deployment
23-Feb-21,Scottie Bryan,Speed Equals Success in a Data Warehouse Migration,null,null,null,null,null
4-Feb-21,Scottie Bryan,"What I Learned About KPIs, Data, and a Cloud Data Warehouse ",null,null,null,null,null
28-Jan-21,Sam Kohlleffel,Cloudy SQL Querying Snowflake Inside a Jupyter Notebook,Snowflake,Cloud Computing,Data,Jupyter Notebook,Machine Learning
26-Jan-21,Prabha Rashmi,Know Your Data Pipelines with Great Expectations,Data Quality,Documentation,Data Profiling,Data Testing,Data
18-Jan-21,Venkat Sekar,Integrating dbt with Azure Data Factory (ADF),Dbt,Azure Data Factory,Azure,Adf,Data
12-Jan-21,Jhimli Bora & John Aven,Understanding State Management in Hashmap Data Migrator,Snowflake,Data,Data Migration,State Management,Cloud Computing
11-Jan-21,Jhimli Bora & John Aven,"Accelerating Netezza to Snowflake Migrations
Using Hashmap Data Migrator",Netezza,Snowflake,Data Migration,Cloud Computing,Data
7-Jan-21,Venkat Sekar,Deploying and Running dbt on Azure Container Instances,Dbt,Azure,Azure Container Instances,Snowflake,Data
16-Dec-20,The Hashmap Team,Hashmap Engineering & Technology: Our Top 10 Most Popular Articles in 2020,Cloud Computing,Snowflake,Data,AWS,Cloud
3-Dec-20,Sam Kohlleffel,Behind the Scenes of Snowflake Healthcheck,Snowflake,Snowflake Healthcheck,React,Data Visualization,Cloud Computing
19-Nov-20,John Aven,"Building ML Pipelines
Dockerizing Your Code",Docker,Mlops,Data Science,Containerization,Machine Learning
18-Nov-20,Shekhar Parnerkar and Gaurav Kholiya,"Staging, Ingesting, and Transforming Excel Files",Excel,Data Science,Data Transformation,Data Quality,Data Management
20-Oct-20,Shekhar Parnerkar and Pooja Sankpal,Four Steps for Migrating from Hive 2.x to 3.x,Cloudera,Cdp,Cloudera Data Platform,Hive Migration,Cloud Computing
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 2): Snowflake Healthcheck,AWS,Snowflake,React,Snowflake Healthcheck,Cloud Computing
25-Sep-20,Shekhar Parnerkar,Make The Most Of Your Azure Data Factory Pipelines,Adf,Azure,DevOps,Etl,Data
26-Aug-20,Kelly Kohlleffel,How To Get Rid of Data Integration Option Fatigue in Just 10 Minutes,Data,Cloud Computing,Data Integration,Workshop,Outcomes
14-Aug-20,Senthil Anandarangan & Ganesh Hegde,Using Starburst Presto to Federate SQL Queries Across Multiple Data Sources,Starburst,Presto,Looker,Data Virtualization,Data
9-Jul-20,Venkat Sekar,How to Integrate SQL Databases with Snowflake Using AWS Glue,AWS,Snowflake,Data,Aws Glue,Cloud
12-Jun-20,Kieran Healey & Senthil Anandarangan,ADF Snowflake Connector: A Bit Underbaked,Snowflake,Azure Data Factory,Data,Data Engineering,Cloud Computing
30-Apr-20,Prakash Bharathi & Kelly Kohlleffel,"Talking Data, the Cloud, Matillion, and Snowflake",Snowflake,Matillion,Data,Cloud Computing,Elt
22-Apr-20,Randy Pitcher,Snowflake Cheatsheet | 3 Approaches to Creating Users,Snowflake,Guide,Data,Create User,Cloud Computing
15-Apr-20,Yu Fai Wong,Moving On-Prem Oracle Databases to Snowflake,Snowflake,Migration,Oracle,Data,Cloud
20-Feb-20,Kieran Healey,#Tech in 5 Real-Time Architecture,Realtime,IoT,Data,Influx,Cloud Computing
30-Jan-20,Kieran Healey,Snowflake Azure Storage Integration,Snowflake,Storage Integration,Azure,Security,Cloud Computing
29-Jan-20,John Aven,Snowflake Anti-Patterns: The Probable Data Scientist,Snowflake,Snowflake Computing,Cloud Computing,Data,Data Science
10-Jan-20,Kieran Healey,#Tech in 5 Snowflake & Dask,Dask,Snowflake,Data Engineering,Python,Open Source
7-Jan-20,John Aven,Evolving Data Science,Data Science,Machine Learning,AI,Data Engineering,Analytics
29-Sep-21,Kedar Waval,Snowflake External Tables Quick Setup Guide,Snowflake,AWS,Aws Sqs,Cloud Computing,Data
1-Sep-21,Hashmap,"Creating a Modern SQL Notebook with Oliver Hughes, Co-Founder & CEO of Count",Sql,Cloud Computing,Data,Sql Notebook,Count
9-Aug-21,Venkat Sekar,Cataloging Metadata in Snowflake with SnowCAT,Snowflake,Snowcat,Data Catalog,Cloud Computing,Data Discovery
28-Jul-21,Chinmayee Lakkad,Why You Should Use Snowflake's External Tables,Snowflake,Data,Cloud Computing,Data Lake,Snowflake Data Cloud
